,0
0,139
1,144
2,111
3,228
4,244
5,5
6,109
7,187
8,47
9,78
10,150
11,225
12,201
13,127
14,85
15,164
16,35
17,44
18,130
19,35
20,181
21,174
22,232
23,25
24,235
25,14
26,54
27,41
28,112
29,201
30,38
31,204
32,175
33,134
34,116
35,233
36,177
37,149
38,14
39,218
40,253
41,15
42,5
43,214
44,172
45,195
46,126
47,34
48,173
49,126
50,33
51,80
52,135
53,179
54,10
55,250
56,121
57,247
58,176
59,190
60,35
61,1
62,213
63,96
64,13
65,142
66,163
67,136
68,49
69,32
70,24
71,179
72,207
73,252
74,53
75,194
76,64
77,238
78,57
79,81
80,24
81,193
82,165
83,93
84,123
85,126
86,71
87,139
88,154
89,110
90,89
91,244
92,151
93,121
94,5
95,69
96,166
97,50
98,106
99,101
100,122
101,99
102,213
103,236
104,167
105,133
106,68
107,187
108,83
109,63
110,44
111,71
112,206
113,218
114,41
115,192
116,207
117,44
118,144
119,161
120,221
121,81
122,154
123,135
124,217
125,145
126,115
127,160
128,106
129,135
130,62
131,92
132,120
133,40
134,170
135,220
136,14
137,248
138,156
139,114
140,189
141,79
142,210
143,3
144,67
145,56
146,63
147,193
148,58
149,240
150,87
151,136
152,224
153,249
154,201
155,59
156,197
157,137
158,0
159,254
160,233
161,76
162,198
163,112
164,101
165,69
166,28
167,120
168,138
169,16
170,191
171,185
172,60
173,80
174,172
175,193
176,143
177,42
178,23
179,148
180,62
181,120
182,65
183,219
184,102
185,39
186,66
187,194
188,126
189,149
190,175
191,58
192,89
193,234
194,211
195,117
196,51
197,8
198,133
199,173
200,244
201,55
202,24
203,82
204,133
205,224
206,156
207,80
208,14
209,157
210,102
211,170
212,220
213,28
214,92
215,3
216,195
217,109
218,25
219,15
220,216
221,178
222,7
223,18
224,60
225,120
226,36
227,158
228,236
229,18
230,37
231,46
232,247
233,173
234,110
235,209
236,21
237,150
238,57
239,103
240,2
241,61
242,167
243,161
244,221
245,239
246,153
247,144
248,140
249,98
250,145
251,108
252,0
253,100
254,4
255,191
256,244
257,147
258,3
259,77
260,6
261,95
262,158
263,48
264,17
265,10
266,21
267,171
268,138
269,150
270,76
271,91
272,182
273,118
274,241
275,251
276,24
277,194
278,58
279,169
280,150
281,148
282,17
283,248
284,36
285,3
286,192
287,77
288,163
289,42
290,66
291,252
292,178
293,119
294,218
295,25
296,253
297,58
298,112
299,250
300,166
301,91
302,180
303,37
304,56
305,29
306,164
307,191
308,64
309,105
310,215
311,102
312,104
313,163
314,9
315,101
316,6
317,151
318,108
319,5
320,128
321,53
322,178
323,154
324,199
325,82
326,163
327,97
328,223
329,213
330,134
331,125
332,222
333,17
334,35
335,41
336,13
337,59
338,30
339,115
340,137
341,27
342,148
343,145
344,69
345,83
346,229
347,32
348,199
349,174
350,213
351,12
352,166
353,185
354,69
355,119
356,175
357,146
358,114
359,174
360,64
361,40
362,119
363,88
364,42
365,252
366,235
367,214
368,108
369,234
370,181
371,204
372,48
373,220
374,42
375,220
376,38
377,167
378,128
379,153
380,212
381,201
382,14
383,0
384,43
385,104
386,137
387,151
388,27
389,140
390,36
391,48
392,131
393,249
394,119
395,226
396,184
397,47
398,23
399,166
400,74
401,104
402,248
403,92
404,41
405,229
406,156
407,208
408,112
409,139
410,109
411,153
412,243
413,189
414,195
415,59
416,162
417,135
418,1
419,18
420,94
421,151
422,12
423,40
424,158
425,212
426,74
427,41
428,223
429,187
430,72
431,188
432,172
433,91
434,162
435,97
436,166
437,126
438,113
439,18
440,123
441,225
442,3
443,57
444,78
445,67
446,203
447,121
448,23
449,212
450,103
451,80
452,180
453,137
454,55
455,71
456,81
457,238
458,49
459,118
460,16
461,39
462,117
463,167
464,238
465,224
466,187
467,224
468,123
469,149
470,67
471,182
472,146
473,99
474,78
475,252
476,193
477,112
478,163
479,211
480,168
481,207
482,248
483,100
484,6
485,186
486,40
487,76
488,63
489,63
490,91
491,213
492,211
493,251
494,233
495,31
496,146
497,113
498,180
499,97
500,109
501,38
502,104
503,149
504,2
505,162
506,182
507,254
508,189
509,179
510,117
511,23
512,158
513,187
514,236
515,71
516,94
517,87
518,175
519,22
520,238
521,155
522,34
523,53
524,231
525,216
526,230
527,2
528,144
529,41
530,36
531,158
532,145
533,197
534,68
535,159
536,221
537,235
538,156
539,50
540,89
541,240
542,149
543,70
544,239
545,198
546,68
547,174
548,60
549,173
550,52
551,62
552,180
553,101
554,136
555,143
556,83
557,85
558,109
559,28
560,79
561,169
562,116
563,188
564,214
565,186
566,132
567,48
568,167
569,4
570,112
571,249
572,33
573,189
574,48
575,50
576,165
577,91
578,8
579,130
580,237
581,145
582,251
583,108
584,28
585,250
586,87
587,95
588,212
589,196
590,92
591,175
592,48
593,176
594,220
595,62
596,191
597,142
598,191
599,196
600,185
601,254
602,108
603,1
604,72
605,219
606,91
607,14
608,104
609,80
610,97
611,125
612,251
613,117
614,121
615,170
616,76
617,96
618,95
619,48
620,154
621,181
622,246
623,113
624,176
625,99
626,221
627,154
628,79
629,179
630,28
631,46
632,101
633,205
634,195
635,156
636,1
637,177
638,164
639,50
640,14
641,49
642,220
643,151
644,33
645,13
646,69
647,137
648,93
649,30
650,247
651,183
652,35
653,241
654,251
655,173
656,66
657,208
658,216
659,238
660,188
661,60
662,138
663,222
664,74
665,85
666,228
667,221
668,52
669,81
670,6
671,215
672,202
673,148
674,63
675,36
676,184
677,209
678,35
679,5
680,104
681,5
682,242
683,137
684,196
685,89
686,62
687,169
688,76
689,143
690,97
691,70
692,43
693,217
694,36
695,39
696,131
697,229
698,156
699,78
700,181
701,155
702,243
703,132
704,56
705,219
706,167
707,77
708,183
709,66
710,29
711,40
712,43
713,211
714,182
715,99
716,177
717,101
718,41
719,44
720,99
721,245
722,126
723,108
724,1
725,36
726,58
727,121
728,32
729,124
730,254
731,90
732,152
733,148
734,192
735,190
736,240
737,135
738,251
739,183
740,31
741,89
742,202
743,185
744,158
745,252
746,60
747,101
748,201
749,115
750,231
751,99
752,84
753,193
754,248
755,116
756,73
757,43
758,32
759,23
760,104
761,223
762,227
763,183
764,184
765,200
766,185
767,88
768,243
769,144
770,121
771,196
772,68
773,156
774,190
775,94
776,185
777,181
778,219
779,114
780,87
781,211
782,26
783,30
784,3
785,200
786,64
787,22
788,183
789,6
790,58
791,75
792,209
793,167
794,99
795,194
796,2
797,74
798,209
799,187
800,50
801,174
802,6
803,114
804,99
805,5
806,203
807,184
808,248
809,74
810,55
811,92
812,21
813,97
814,58
815,234
816,42
817,136
818,244
819,72
820,189
821,160
822,84
823,15
824,212
825,164
826,252
827,29
828,223
829,4
830,220
831,147
832,25
833,219
834,82
835,173
836,150
837,233
838,131
839,147
840,63
841,49
842,210
843,108
844,143
845,94
846,35
847,223
848,106
849,79
850,228
851,8
852,128
853,12
854,219
855,106
856,116
857,206
858,144
859,50
860,5
861,198
862,251
863,37
864,92
865,16
866,171
867,181
868,114
869,196
870,156
871,2
872,218
873,86
874,84
875,36
876,26
877,146
878,251
879,68
880,94
881,202
882,184
883,213
884,52
885,197
886,245
887,3
888,169
889,72
890,227
891,44
892,252
893,225
894,197
895,160
896,175
897,135
898,182
899,178
900,247
901,50
902,141
903,233
904,125
905,55
906,117
907,108
908,88
909,96
910,145
911,89
912,50
913,114
914,237
915,92
916,201
917,21
918,71
919,125
920,253
921,173
922,161
923,154
924,237
925,35
926,177
927,103
928,82
929,150
930,156
931,62
932,242
933,148
934,223
935,121
936,0
937,233
938,106
939,151
940,238
941,173
942,87
943,221
944,45
945,164
946,9
947,141
948,209
949,32
950,97
951,109
952,94
953,67
954,132
955,137
956,111
957,94
958,245
959,114
960,192
961,184
962,71
963,33
964,182
965,140
966,246
967,203
968,194
969,119
970,75
971,88
972,143
973,49
974,74
975,145
976,159
977,79
978,205
979,37
980,37
981,221
982,37
983,227
984,171
985,49
986,144
987,114
988,200
989,34
990,16
991,39
992,84
993,225
994,11
995,238
996,163
997,56
998,197
999,213
1000,118
1001,235
1002,181
1003,18
1004,41
1005,5
1006,228
1007,129
1008,27
1009,148
1010,213
1011,117
1012,212
1013,151
1014,152
1015,32
1016,253
1017,145
1018,77
1019,97
1020,240
1021,12
1022,89
1023,160
1024,59
1025,239
1026,183
1027,99
1028,140
1029,65
1030,225
1031,239
1032,182
1033,46
1034,125
1035,70
1036,79
1037,64
1038,89
1039,232
1040,43
1041,122
1042,5
1043,61
1044,176
1045,127
1046,32
1047,109
1048,63
1049,197
1050,34
1051,160
1052,140
1053,75
1054,150
1055,55
1056,229
1057,186
1058,196
1059,231
1060,84
1061,204
1062,13
1063,120
1064,184
1065,250
1066,233
1067,8
1068,253
1069,180
1070,117
1071,233
1072,31
1073,132
1074,13
1075,15
1076,193
1077,126
1078,42
1079,210
1080,120
1081,191
1082,124
1083,160
1084,254
1085,185
1086,151
1087,32
1088,5
1089,123
1090,205
1091,96
1092,108
1093,71
1094,211
1095,11
1096,229
1097,252
1098,188
1099,208
1100,81
1101,92
1102,185
1103,241
1104,102
1105,5
1106,145
1107,129
1108,123
1109,131
1110,188
1111,248
1112,141
1113,66
1114,141
1115,40
1116,16
1117,58
1118,240
1119,92
1120,187
1121,114
1122,71
1123,45
1124,191
1125,78
1126,30
1127,38
1128,161
1129,62
1130,234
1131,99
1132,27
1133,100
1134,178
1135,78
1136,84
1137,247
1138,149
1139,213
1140,185
1141,159
1142,212
1143,217
1144,214
1145,100
1146,69
1147,160
1148,170
1149,111
1150,117
1151,197
1152,92
1153,64
1154,173
1155,224
1156,104
1157,252
1158,22
1159,53
1160,127
1161,188
1162,111
1163,153
1164,5
1165,214
1166,227
1167,53
1168,92
1169,233
1170,16
1171,190
1172,196
1173,116
1174,61
1175,81
1176,36
1177,114
1178,254
1179,32
1180,212
1181,220
1182,57
1183,109
1184,226
1185,86
1186,34
1187,107
1188,137
1189,140
1190,199
1191,139
1192,17
1193,147
1194,38
1195,248
1196,125
1197,89
1198,44
1199,210
